google_name,epass_name,osm_name,osm_id,latitude,longitude,origin_osm_id,origin_osm_name,origin_osm_latitude,origin_osm_longitude,google_maps_url,distance_to_origin
Trạm thu phí Long Thới,Nguyễn Văn Tạo,Trạm thu phí Long Thới,12103925344,10.6609445,106.7234909,12103925344,Trạm thu phí Long Thới,10.660944499475534,106.72349089999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Long+Th%E1%BB%9Bi/data=!4m7!3m6!1s0x317531cc43db004b:0x30a8d72f5c0a966d!8m2!3d10.6603468!4d106.7268386!16s%2Fg%2F11fr5lpq6r!19sChIJSwDbQ8wxdTERbZYKXC_XqDA?authuser=0&hl=vi&rclk=1,0.0
Trạm thu phí Long Thới,Nguyễn Văn Tạo,Trạm thu phí Long Thới,12103925344,10.6609445,106.7234909,12103925331,Trạm thu phí Long Thới,10.660826999475525,106.7234561,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Long+Th%E1%BB%9Bi/data=!4m7!3m6!1s0x317531cc43db004b:0x30a8d72f5c0a966d!8m2!3d10.6603468!4d106.7268386!16s%2Fg%2F11fr5lpq6r!19sChIJSwDbQ8wxdTERbZYKXC_XqDA?authuser=0&hl=vi&rclk=1,13.6
Trạm thu phí 6,Phước An,Trạm Thu phí 06,13453097869,10.663791099475715,106.9719749,13453097869,Trạm Thu Phí 06,10.663791099475715,106.9719749,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+6/data=!4m7!3m6!1s0x317517007245c4b9:0x1bf87663092eafb5!8m2!3d10.6638125!4d106.9719375!16s%2Fg%2F11ymkx7cy2!19sChIJucRFcgAXdTERta8uCWN2-Bs?authuser=0&hl=vi&rclk=1,0.0
Trạm thu phí 6,Phước An,Trạm Thu phí 06,13453097869,10.663791099475715,106.9719749,13453097870,Trạm Thu Phí 06,10.66326039947568,106.97219999999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+6/data=!4m7!3m6!1s0x317517007245c4b9:0x1bf87663092eafb5!8m2!3d10.6638125!4d106.9719375!16s%2Fg%2F11ymkx7cy2!19sChIJucRFcgAXdTERta8uCWN2-Bs?authuser=0&hl=vi&rclk=1,63.9
Trạm Thu Phí Bình Chánh,QL1A,Trạm Thu Phí 2A,9697403773,10.661748099475584,106.5596307,9697403773,Trạm Thu Phí 2A,10.661748099475584,106.55963069999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%C3%ACnh+Ch%C3%A1nh/data=!4m7!3m6!1s0x3175330011f050cb:0xd21a581dde8737df!8m2!3d10.6615405!4d106.5602967!16s%2Fg%2F11ltj6fp0f!19sChIJy1DwEQAzdTER3zeH3h1YGtI?authuser=0&hl=vi&rclk=1,0.0
Trạm Thu Phí Bình Chánh,QL1A,Trạm Thu Phí 2A,9697403773,10.661748099475584,106.5596307,9697403778,Trạm Thu Phí 2A,10.661277999475551,106.55921429999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%C3%ACnh+Ch%C3%A1nh/data=!4m7!3m6!1s0x3175330011f050cb:0xd21a581dde8737df!8m2!3d10.6615405!4d106.5602967!16s%2Fg%2F11ltj6fp0f!19sChIJy1DwEQAzdTER3zeH3h1YGtI?authuser=0&hl=vi&rclk=1,69.3
Trạm thu phí số 03,QL50,Trạm Thu Phí 03,12866199543,10.660256999475486,106.6545182,12866199543,Trạm Thu Phí 03,10.660256999475486,106.6545182,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+s%E1%BB%91+03/data=!4m7!3m6!1s0x3175310021c28bf1:0x5cbb532bc62ed6ca!8m2!3d10.6602893!4d106.6544822!16s%2Fg%2F11xzmlk13q!19sChIJ8YvCIQAxdTERytYuxitTu1w?authuser=0&hl=vi&rclk=1,0.0
Trạm thu phí số 03,QL50,Trạm Thu Phí 03,12866199543,10.660256999475486,106.6545182,12866199542,Trạm Thu Phí 03,10.660258499475487,106.6544188,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+s%E1%BB%91+03/data=!4m7!3m6!1s0x3175310021c28bf1:0x5cbb532bc62ed6ca!8m2!3d10.6602893!4d106.6544822!16s%2Fg%2F11xzmlk13q!19sChIJ8YvCIQAxdTERytYuxitTu1w?authuser=0&hl=vi&rclk=1,10.9
Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),QL51,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),11949138225,10.675525489391084,107.0197876203359,11949138225,Trạm Thu Phí 07,10.675402399476466,107.0197586,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+b%E1%BA%BFn+l%E1%BB%A9c+-+Long+Th%C3%A0nh+%28qu%E1%BB%91c+l%E1%BB%99+51%29/data=!4m7!3m6!1s0x31751100626b3a0f:0xa28cbb051928033b!8m2!3d10.6755667!4d107.0197492!16s%2Fg%2F11wj4j65fs!19sChIJDzprYgARdTEROwMoGQW7jKI?authuser=0&hl=vi&rclk=1,14.0
Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),QL51,Trạm thu phí cao tốc bến lức - Long Thành (quốc lộ 51),11949138225,10.675525489391084,107.0197876203359,11949138224,Trạm Thu Phí 07,10.675666399476484,107.01983329999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+cao+t%E1%BB%91c+b%E1%BA%BFn+l%E1%BB%A9c+-+Long+Th%C3%A0nh+%28qu%E1%BB%91c+l%E1%BB%99+51%29/data=!4m7!3m6!1s0x31751100626b3a0f:0xa28cbb051928033b!8m2!3d10.6755667!4d107.0197492!16s%2Fg%2F11wj4j65fs!19sChIJDzprYgARdTEROwMoGQW7jKI?authuser=0&hl=vi&rclk=1,16.4
Trạm Thu phí Mỹ Yên,TP HCM - Trung Lương,Trạm Thu phí 1B,9865004498,10.669824549476106,106.54923705,9865004498,Trạm Thu Phí 1B,10.669726399476097,106.5491571,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+M%E1%BB%B9+Y%C3%AAn/data=!4m7!3m6!1s0x31753300549dd793:0x39218bd58fdb6fd7!8m2!3d10.6698065!4d106.5491958!16s%2Fg%2F11vx68tvjx!19sChIJk9edVAAzdTER12_bj9WLITk?authuser=0&hl=vi&rclk=1,14.0
Trạm Thu phí Mỹ Yên,TP HCM - Trung Lương,Trạm Thu phí 1B,9865004498,10.669824549476106,106.54923705,9865004497,Trạm Thu Phí 1B,10.669927099476112,106.5493713,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+M%E1%BB%B9+Y%C3%AAn/data=!4m7!3m6!1s0x31753300549dd793:0x39218bd58fdb6fd7!8m2!3d10.6698065!4d106.5491958!16s%2Fg%2F11vx68tvjx!19sChIJk9edVAAzdTER12_bj9WLITk?authuser=0&hl=vi&rclk=1,18.6
Trạm thu phí 6,Phước An,Trạm Thu phí 06,13453097869,10.663791099475715,106.9719749,13453097871,Trạm Thu Phí 06 - nh 2,10.6616185,106.9678250,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+6/data=!4m7!3m6!1s0x317517007245c4b9:0x1bf87663092eafb5!8m2!3d10.6638125!4d106.9719375!16s%2Fg%2F11ymkx7cy2!19sChIJucRFcgAXdTERta8uCWN2-Bs?authuser=0&hl=vi&rclk=1,400.0
Trạm thu phí 6,Phước An,Trạm Thu phí 06,13453097869,10.663791099475715,106.9719749,13453097872,Trạm Thu Phí 06 - nh 2,10.6610973,106.9680385,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+6/data=!4m7!3m6!1s0x317517007245c4b9:0x1bf87663092eafb5!8m2!3d10.6638125!4d106.9719375!16s%2Fg%2F11ymkx7cy2!19sChIJucRFcgAXdTERta8uCWN2-Bs?authuser=0&hl=vi&rclk=1,413.9
Trạm Thu Phí Bình Chánh,QL1A,Trạm Thu Phí 2B,9697403773,10.661748099475584,106.5596307,9865004504,Trạm Thu Phí 2B,10.6584034,106.5645736,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%C3%ACnh+Ch%C3%A1nh/data=!4m7!3m6!1s0x3175330011f050cb:0xd21a581dde8737df!8m2!3d10.6615405!4d106.5602967!16s%2Fg%2F11ltj6fp0f!19sChIJy1DwEQAzdTER3zeH3h1YGtI?authuser=0&hl=vi&rclk=1,500.0
Trạm Thu Phí Bình Chánh,QL1A,Trạm Thu Phí 2B,9697403773,10.661748099475584,106.5596307,9865004499,Trạm Thu Phí 2B,10.6578559,106.5642235,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+B%C3%ACnh+Ch%C3%A1nh/data=!4m7!3m6!1s0x3175330011f050cb:0xd21a581dde8737df!8m2!3d10.6615405!4d106.5602967!16s%2Fg%2F11ltj6fp0f!19sChIJy1DwEQAzdTER3zeH3h1YGtI?authuser=0&hl=vi&rclk=1,510.0
