epass_name,google_name,osm_id,osm_name,latitude,longitude,distance_to_origin,origin_osm_id,origin_osm_name,origin_osm_latitude,origin_osm_longitude,google_maps_url
Nút giao QL1A,Trạm thu phí Nút giao Xuân Lộc,13457949978,Trạm Thu phí Quốc lộ 1,10.8963772994913,107.42155239999998,11.2,13457949979,Trạm Thu phí Quốc lộ 1 Km63+000,10.896276999491294,107.42155769999998,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+N%C3%BAt+giao+Xu%C3%A2n+L%E1%BB%99c/data=!4m7!3m6!1s0x3174530030bbe3a5:0xb4db59de41f81b75!8m2!3d10.8963452!4d107.4212857!16s%2Fg%2F11z2xsxr0d!19sChIJpeO7MABTdDERdRv4Qd5Z27Q?authuser=0&hl=vi&rclk=1
Nút giao QL55,Trạm thu phí QL55 Sông Phan,11813154464,Trạm Thu phí Quốc lộ 55,10.858925399488712,107.74151129999998,0.0,11813154464,Trạm Thu phí Quốc lộ 55 Km27+400,10.858925399488712,107.74151129999998,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+QL55+S%C3%B4ng+Phan/@10.8604834,107.735049,15.74z/data=!4m6!3m5!1s0x317435001c759715:0x69dc89b54bf0ac15!8m2!3d10.8590341!4d107.7415436!16s%2Fg%2F11n51_3_y1?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao QL55,Trạm thu phí QL55 Sông Phan,11813154464,Trạm Thu phí Quốc lộ 55,10.858925399488712,107.74151129999998,13.2,11813154463,Trạm Thu phí Quốc lộ 55 Km27+400,10.85889749948871,107.74162919999999,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+QL55+S%C3%B4ng+Phan/@10.8604834,107.735049,15.74z/data=!4m6!3m5!1s0x317435001c759715:0x69dc89b54bf0ac15!8m2!3d10.8590341!4d107.7415436!16s%2Fg%2F11n51_3_y1?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao QL55,Trạm thu phí QL55 Sông Phan,11813154464,Trạm Thu phí Quốc lộ 55,10.858925399488712,107.74151129999998,407.2,11813154461,Trạm Thu phí Quốc lộ 55 Km27+400 - nh 2,10.86250389948896,107.7423041,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+QL55+S%C3%B4ng+Phan/@10.8604834,107.735049,15.74z/data=!4m6!3m5!1s0x317435001c759715:0x69dc89b54bf0ac15!8m2!3d10.8590341!4d107.7415436!16s%2Fg%2F11n51_3_y1?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao QL55,Trạm thu phí QL55 Sông Phan,11813154464,Trạm Thu phí Quốc lộ 55,10.858925399488712,107.74151129999998,409.0,11813154462,Trạm Thu phí Quốc lộ 55 Km27+400 - nh 2,10.86249909948896,107.7423997,"https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+QL55+S%C3%B4ng+Phan/@10.8604834,107.735049,15.74z/data=!4m6!3m5!1s0x317435001c759715:0x69dc89b54bf0ac15!8m2!3d10.8590341!4d107.7415436!16s%2Fg%2F11n51_3_y1?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao QL56,Trạm thu phí Nút giao Cẩm Mỹ,13457949977,Trạm Thu phí Quốc lộ 56,10.859510499488753,107.2355806,0.0,13457949977,Trạm Thu phí Nút giao Quốc lộ 56 Km86+200,10.859510499488751,107.2355806,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+N%C3%BAt+giao+C%E1%BA%A9m+M%E1%BB%B9/data=!4m7!3m6!1s0x3174ff000afe936b:0xd24a24575684f794!8m2!3d10.8595632!4d107.2357632!16s%2Fg%2F11z2xsvn8s!19sChIJa5P-CgD_dDERlPeEVlckStI?authuser=0&hl=vi&rclk=1
Nút giao TL720,Trạm Thu Phí TL720,13594672354,Trạm Thu phí Đường tỉnh 720,10.86183249948891,107.6465972,10.8,13594672354,Trạm Thu phí Đường tỉnh 720 Km37+800,10.861851499488914,107.64650039999998,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+TL720/@10.8636916,107.6460288,17z/data=!3m1!4b1!4m6!3m5!1s0x31744b002e1ebc2b:0xad0a673592abeaaa!8m2!3d10.8636916!4d107.6460288!16s%2Fg%2F11z929fnzd?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao TL720,Trạm Thu Phí TL720,13594672354,Trạm Thu phí Đường tỉnh 720,10.86183249948891,107.6465972,390.8,13594672353,Trạm Thu phí Đường tỉnh 720 Km37+800 - nh 2,10.86476019948911,107.64857689999998,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+TL720/@10.8636916,107.6460288,17z/data=!3m1!4b1!4m6!3m5!1s0x31744b002e1ebc2b:0xad0a673592abeaaa!8m2!3d10.8636916!4d107.6460288!16s%2Fg%2F11z929fnzd?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao TL765,Trạm Thu Phí Nút Giao TL765 Km69+400,11304967566,Trạm Thu phí Xuân Lộc,10.885088499490518,107.3659241,0.0,11304967566,Trạm Thu phí Xuân Lộc,10.885088499490518,107.36592409999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+TL765+Km69%2B400/data=!4m7!3m6!1s0x317455006c0cfdb1:0xe67f0b49de062177!8m2!3d10.88509!4d107.365801!16s%2Fg%2F11z3y_1bdm!19sChIJsf0MbABVdDERdyEG3kkLf-Y?authuser=0&hl=vi&rclk=1
Nút giao TL765,Trạm Thu Phí Nút Giao TL765 Km69+400,11304967566,Trạm Thu phí Xuân Lộc,10.885088499490518,107.3659241,471.1,11304967563,Trạm Thu phí Xuân Lộc,10.887434699490681,107.3695165,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+TL765+Km69%2B400/data=!4m7!3m6!1s0x317455006c0cfdb1:0xe67f0b49de062177!8m2!3d10.88509!4d107.365801!16s%2Fg%2F11z3y_1bdm!19sChIJsf0MbABVdDERdyEG3kkLf-Y?authuser=0&hl=vi&rclk=1
Phan Thiết - Dầu Giây,Trạm Thu phí Đường Cao tốc Phan Thiết- Dầu Giây,8579215378,Trạm Thu phí Dầu Giây,10.838869899487335,107.1480463,0.0,8579215378,Trạm Thu phí Dầu Giây,10.838869899487337,107.14804629999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+%C4%90%C6%B0%E1%BB%9Dng+Cao+t%E1%BB%91c+Phan+Thi%E1%BA%BFt-+D%E1%BA%A7u+Gi%C3%A2y/data=!4m7!3m6!1s0x317503001fd04645:0x5c2e2e85314391eb!8m2!3d10.8389255!4d107.1474779!16s%2Fg%2F11ldvppg1r!19sChIJRUbQHwADdTER65FDMYUuLlw?authuser=0&hl=vi&rclk=1
Phan Thiết - Dầu Giây,Trạm Thu phí Đường Cao tốc Phan Thiết- Dầu Giây,8579215378,Trạm Thu phí Dầu Giây,10.838869899487335,107.1480463,20.1,8579215313,Trạm Thu phí Dầu Giây,10.83905099948735,107.14805059999999,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+%C4%90%C6%B0%E1%BB%9Dng+Cao+t%E1%BB%91c+Phan+Thi%E1%BA%BFt-+D%E1%BA%A7u+Gi%C3%A2y/data=!4m7!3m6!1s0x317503001fd04645:0x5c2e2e85314391eb!8m2!3d10.8389255!4d107.1474779!16s%2Fg%2F11ldvppg1r!19sChIJRUbQHwADdTER65FDMYUuLlw?authuser=0&hl=vi&rclk=1
Nút giao TL720,Trạm Thu Phí TL720,13594672354,Trạm Thu phí Đường tỉnh 720,10.86183249948891,107.6465972,20.5,13594672352,Trạm Thu phí Đường tỉnh 720 Km37+800 - nh 2,10.8647601,107.6484865,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+TL720/@10.8636916,107.6460288,17z/data=!3m1!4b1!4m6!3m5!1s0x31744b002e1ebc2b:0xad0a673592abeaaa!8m2!3d10.8636916!4d107.6460288!16s%2Fg%2F11z929fnzd?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao TL720,Trạm Thu Phí TL720,13594672354,Trạm Thu phí Đường tỉnh 720,10.86183249948891,107.6465972,5.5,13594672355,Trạm Thu phí Đường tỉnh 720 Km37+800,10.8617954,107.6465605,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+TL720/@10.8636916,107.6460288,17z/data=!3m1!4b1!4m6!3m5!1s0x31744b002e1ebc2b:0xad0a673592abeaaa!8m2!3d10.8636916!4d107.6460288!16s%2Fg%2F11z929fnzd?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D"
Nút giao Phan Thiết,Trạm Thu phí Ba Bàu,13594672376,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,700.0,13459444107,Trạm Thu phí Ba Bàu - nh 2,10.934378299493963,107.97708,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/@10.9334786,107.9673705,1499m/data=!3m1!1e3!4m10!1m2!2m1!1zVHLhuqFtIHRodSBwaMOtIG7DunQgZ2lhbyBCYSBCw6B1!3m6!1s0x31742900798d9d95:0x2fbc2c94b3fe0980!8m2!3d10.9343717!4d107.9770449!15sCiFUcuG6oW0gdGh1IHBow60gbsO6dCBnaWFvIEJhIELDoHWSAQx0b2xsX3N0YXRpb27gAQA!16s%2Fg%2F11z5s_q51k?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D"
Nút giao Phan Thiết,Trạm Thu phí Ba Bàu,13594672376,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,710.0,10931263005,Trạm Thu phí Ba Bàu - nh 2,10.934338999493958,107.97702239999998,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/@10.9334786,107.9673705,1499m/data=!3m1!1e3!4m10!1m2!2m1!1zVHLhuqFtIHRodSBwaMOtIG7DunQgZ2lhbyBCYSBCw6B1!3m6!1s0x31742900798d9d95:0x2fbc2c94b3fe0980!8m2!3d10.9343717!4d107.9770449!15sCiFUcuG6oW0gdGh1IHBow60gbsO6dCBnaWFvIEJhIELDoHWSAQx0b2xsX3N0YXRpb27gAQA!16s%2Fg%2F11z5s_q51k?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D"
Nút giao Phan Thiết,Trạm Thu phí Ba Bàu,13594672376,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,0,13594672377,Trạm Thu phí Ba Bàu,10.932592299493834,107.9680512,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/@10.9331988,107.9690282,747m/data=!3m1!1e3!4m12!1m5!3m4!2zMTDCsDU2JzAzLjgiTiAxMDfCsDU4JzM3LjUiRQ!8m2!3d10.9343783!4d107.97708!3m5!1s0x3174290072516a39:0xbbd6693db0a095e3!8m2!3d10.9325855!4d107.9679958!16s%2Fg%2F11z4vpnr5n?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D"
Nút giao Phan Thiết,Trạm Thu phí Ba Bàu,13594672376,Trạm Thu phí Ba Bàu,10.932602371898122,107.96800349083978,5.5,13594672376,Trạm Thu phí Ba Bàu,10.932580999493831,107.96796249999998,"https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+N%C3%BAt+Giao+Ba+B%C3%A0u/@10.9331988,107.9690282,747m/data=!3m1!1e3!4m12!1m5!3m4!2zMTDCsDU2JzAzLjgiTiAxMDfCsDU4JzM3LjUiRQ!8m2!3d10.9343783!4d107.97708!3m5!1s0x3174290072516a39:0xbbd6693db0a095e3!8m2!3d10.9325855!4d107.9679958!16s%2Fg%2F11z4vpnr5n?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D"
Nút giao QL1A,Trạm thu phí Nút giao Xuân Lộc,13457949978,Trạm Thu phí Quốc lộ 1,10.8963772994913,107.42155239999998,0.0,13457949978,Trạm Thu phí Quốc lộ 1 Km63+000,10.8963773,107.4215524,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+N%C3%BAt+giao+Xu%C3%A2n+L%E1%BB%99c/data=!4m7!3m6!1s0x3174530030bbe3a5:0xb4db59de41f81b75!8m2!3d10.8963452!4d107.4212857!16s%2Fg%2F11z2xsxr0d!19sChIJpeO7MABTdDERdRv4Qd5Z27Q?authuser=0&hl=vi&rclk=1
Nút giao QL56,Trạm thu phí Nút giao Cẩm Mỹ,13457949977,Trạm Thu phí Quốc lộ 56,10.859510499488753,107.2355806,5.5,13457949976,Trạm Thu phí Nút giao Quốc lộ 56 Km86+200,10.8593681,107.2356458,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+N%C3%BAt+giao+C%E1%BA%A9m+M%E1%BB%B9/data=!4m7!3m6!1s0x3174ff000afe936b:0xd24a24575684f794!8m2!3d10.8595632!4d107.2357632!16s%2Fg%2F11z2xsvn8s!19sChIJa5P-CgD_dDERlPeEVlckStI?authuser=0&hl=vi&rclk=1